id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_tanah_longsor,satuan,tahun
130,32,JAWA BARAT,3274,KOTA CIREBON,0,KEJADIAN,2016
131,32,JAWA BARAT,3275,KOTA BEKASI,1,KEJADIAN,2016
132,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2016
133,32,JAWA BARAT,3277,KOTA CIMAHI,11,KEJADIAN,2016
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,14,KEJADIAN,2016
135,32,JAWA BARAT,3279,KOTA BANJAR,2,KEJADIAN,2016
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,68,KEJADIAN,2017
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,105,KEJADIAN,2017
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,23,KEJADIAN,2017
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,27,KEJADIAN,2017
140,32,JAWA BARAT,3205,KABUPATEN GARUT,27,KEJADIAN,2017
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,38,KEJADIAN,2017
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,29,KEJADIAN,2017
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,43,KEJADIAN,2017
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,4,KEJADIAN,2017
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,27,KEJADIAN,2017
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,55,KEJADIAN,2017
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3,KEJADIAN,2017
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,3,KEJADIAN,2017
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2,KEJADIAN,2017
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4,KEJADIAN,2017
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,KEJADIAN,2017
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,22,KEJADIAN,2017
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16,KEJADIAN,2017
154,32,JAWA BARAT,3271,KOTA BOGOR,131,KEJADIAN,2017
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KEJADIAN,2017
156,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2017
157,32,JAWA BARAT,3274,KOTA CIREBON,0,KEJADIAN,2017
158,32,JAWA BARAT,3275,KOTA BEKASI,2,KEJADIAN,2017
159,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2017
160,32,JAWA BARAT,3277,KOTA CIMAHI,8,KEJADIAN,2017
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,22,KEJADIAN,2017
162,32,JAWA BARAT,3279,KOTA BANJAR,9,KEJADIAN,2017
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,48,KEJADIAN,2018
